topic~key,Book,Citation,bk1,c1,vf1,vt1,bk2,c2,vf2,vt2,bk3,c3,vf3,vt3,bk4,c4,vf4,vf4,bk5,c5,vf5,vt5,bk6,c6,vf6,vt6
le.ep.mc.d193~lemcLI.Epistle.chapverse,2 Corinthians,3.4-11,2 Corinthians,3,4,11,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d194~lemcLI.Epistle.chapverse,2 Corinthians,4.1-12,2 Corinthians,4,1,12,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d195~lemcLI.Epistle.chapverse,2 Corinthians,4.13-18,2 Corinthians,4,13,18,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d196~lemcLI.Epistle.chapverse,1 Corinthians,1.3-9,1 Corinthians,1,3,9,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d197~lemcLI.Epistle.chapverse,1 Corinthians,9.2-12,1 Corinthians,9,2,12,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d198~lemcLI.Epistle.chapverse,2 Corinthians,5.10-15,2 Corinthians,5,10,15,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d199~lemcLI.Epistle.chapverse,2 Corinthians,5.15-21,2 Corinthians,5,15,21,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d200~lemcLI.Epistle.chapverse,2 Corinthians,6.11-16,2 Corinthians,6,11,16,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d201~lemcLI.Epistle.chapverse,2 Corinthians,7.1-10,2 Corinthians,7,1,10,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d202~lemcLI.Epistle.chapverse,2 Corinthians,7.10-16,2 Corinthians,7,10,16,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d203~lemcLI.Epistle.chapverse,1 Corinthians,1.26-31; 2.1-5,1 Corinthians,1,26,31,1 Corinthians,2,1,5,,,,,,,,,,,,,,,,
le.ep.mc.d204~lemcLI.Epistle.chapverse,1 Corinthians,15.1-11,1 Corinthians,15,1,11,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d205~lemcLI.Epistle.chapverse,2 Corinthians,8.7-15,2 Corinthians,8,7,15,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d206~lemcLI.Epistle.chapverse,2 Corinthians,8.16-24; 9.1-5,2 Corinthians,8,16,24,2 Corinthians,9,1,5,,,,,,,,,,,,,,,,
le.ep.mc.d207~lemcLI.Epistle.chapverse,2 Corinthians,9.12-15; 10.1-7,2 Corinthians,9,12,15,2 Corinthians,10,1,7,,,,,,,,,,,,,,,,
le.ep.mc.d208~lemcLI.Epistle.chapverse,2 Corinthians,10.7-18,2 Corinthians,10,7,18,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d209~lemcLI.Epistle.chapverse,2 Corinthians,11.5-21,2 Corinthians,11,5,21,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d210~lemcLI.Epistle.chapverse,1 Corinthians,2.6-9,1 Corinthians,2,6,9,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d211~lemcLI.Epistle.chapverse,1 Corinthians,16.13-24,1 Corinthians,16,13,24,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d212~lemcLI.Epistle.chapverse,2 Corinthians,12.10-19,2 Corinthians,12,10,19,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d213~lemcLI.Epistle.chapverse,2 Corinthians,12.20-21; 13.1-2,2 Corinthians,12,20,21,2 Corinthians,13,1,2,,,,,,,,,,,,,,,,
le.ep.mc.d214~lemcLI.Epistle.chapverse,2 Corinthians,13.3-13,2 Corinthians,13,3,13,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d215~lemcLI.Epistle.chapverse,Galatians,1.1-3; 20-24; 2.1-5,Galatians,1,1,3,Galatians,1,20,24,Galatians,2,1,5,,,,,,,,,,,,
le.ep.mc.d216~lemcLI.Epistle.chapverse,Galatians,2.6-10,Galatians,2,6,10,,,,,,,,,,,,,,,,,,,,
